Progress,Duration (in seconds),Finished,ResponseId,Q2_1,Q2_2,Q2_3,Q13,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q14,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q15,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q16,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q11,Q17,Q5,Q8,Q8_4_TEXT,Q20,Q20_5_TEXT
100,439,TRUE,R_6usTVfITOz9P7Et,50,50,50,,60,90,90,50,90,90,30,,70,70,70,50,80,,50,50,40,40,80,,50,40,50,60,50,80,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Female,
100,58908,TRUE,R_2YEMJOh9waBQ6TU,50,40,70,"Enforcing requires that companies (honestly) report their use of substances, but will likely require expensive chemical analyses to be conducted by regulatory agencies. The cost of breaking these regulations must be felt by the industry. which is usually not the case (fines are not in line with the true incomes).
Additionally, use of the term ""economically feasible alternatives” potentially leaves a massive loophole.",100,100,100,80,100,100,80,"My choices here were based on ""essential"" use of specific products together will knowledge of exposure to humans.",100,80,100,90,100,,80,90,70,80,100,,60,37,60,80,80,80,"Several of these issues tie in to ""economic impacts"", again speaking to the loophole I mentioned earlier. These problems are larger than just this question but rather indicative of our entire economic systems (read - capitalisms).  TO be discussed elsewhere...",The EUC should be implemented as a mandatory assessment in all chemical regulations,"We need to be ambitious. The threats posed by chemicals are existential. Companies should pay for innovation and tech, testing, regulations (they often report record profits, they can afford it).",,Academic,,Female,
100,1276,TRUE,R_2AMuT7DBBhe7vAa,10,20,60,,80,100,100,60,100,60,40,,100,90,70,40,100,,30,100,80,90,90,,48,,4,91,96,62,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,"Academic,NGO",,Male,
100,585,TRUE,R_2cbmukprKWr9S9T,60,50,60,,80,100,100,60,100,100,50,,100,70,100,90,100,,60,90,10,100,100,,61,20,6,13,6,81,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"proposed change: """"there are no available technically, economically, and ecologically feasible alternatives”.",Other,public administration,Prefer not to say,
6,508630,FALSE,R_9TCeDdJVMDi3SJr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,420,TRUE,R_0qCguYWAnLyldZL,20,30,80,,100,100,100,100,100,100,100,,100,100,100,70,100,,40,100,20,70,90,,70,15,19,28,81,60,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
100,638,TRUE,R_3qsZzp6mG2ABKq0,0,0,20,,0,40,40,10,90,40,10,,10,10,20,20,10,,10,10,10,10,0,,90,50,80,50,90,90,,No policy changes; EUC should not be implemented,,The current European chemical assessment procedure as used by SEAC is sufficient. The current EUC would be impossible to enforce as it is way to subjective and would even potentially stop the development of products that may not exist today but will be necessary for societal needs not yet defined.,"Chemical sector,Regulatory",,Male,
100,382,TRUE,R_3dUPMHk1m7T17AB,40,50,60,,90,90,90,90,90,90,90,,100,100,100,100,100,,80,80,70,70,80,,82,16,50,16,53,91,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Female,
100,5290,TRUE,R_3fl5b0rPi2S5Auc,50,40,90,"It will be difficult to avoid discussion about terms like 'critical for the functionality of scociety',  because everyone will have a different opinion on what is 'critical'. ",90,100,100,80,100,80,100,The priority should be the highest in goods/products in direct contact with human bodies and water. ,60,,,,100,Pest control implies that the situation is not balanced. It is better to introduce natural 'pest control' instead of chemical. For public health / crisismanagement other routes instead of chemical treatment should be investigated. ,,,,,100,In the current situation only protection of the environment (biodiversity) should have priority. All others are luxuary and not strictly necessary. Or can be solved in other ways (replacing chemical substances in religious practices for example).,20,30,30,20,10,,"The costs may seem too high, but that is only because at the current situation not all costs are incorporated (environmental damage etc). The introduction of alternatives is just 'a decision' and industry should take the consumers by hand to lead them to the alternatives and be satisfied. ",The EUC should be implemented as a mandatory assessment in all chemical regulations,We don't know yet which chemicals are really harmful and therefore it should be applied to all chemicals; a transition is needed. ,The available alternatives should not necesseraly be 'economically feasible'; that part of the definition should be changed in a way that all costs are incorporated and in a way that PMT features are intorable. ,Water sector,,Female,
100,302,TRUE,R_3m2EDwOjqZ7VcoH,40,40,80,,80,100,90,40,100,40,50,,90,40,100,80,100,,90,50,80,90,90,,29,10,33,43,74,81,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,1195,TRUE,R_2a9PM58ck1r0ZWM,50,60,40,,60,90,100,60,100,100,60,"One would need a definition of ""essential domains"" too, to answer this question",90,90,90,90,90,,60,90,60,60,90,,40,20,20,40,40,80,,The EUC should be implemented as a mandatory assessment only for certain use domains,,"necessary for DEFINED USER DOMAINS IN health, safety or is critical for the functioning of society",Academic,,Male,
19,601661,FALSE,R_xFpKeL92laJc6ZP,0,0,20,"Low rating results from subjectivity of the words used in definition, such as essential, necessary, critical. Even if we try to define those words we end up with further subjective terms. Based on current definition, without defining decision maker it is not enforceable at all and hence not effective. Concept as such is slightly understandable in principle though.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,574,TRUE,R_3nfunKgt7Ajtx7m,70,60,80,,70,100,100,30,90,90,30,,80,60,80,60,100,,60,80,50,60,80,,80,90,71,100,80,90,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,297,TRUE,R_3Gx0ogMKbIP18LM,70,100,100,,100,100,100,100,100,100,100,The concept should be applied to all domains equally.,100,100,100,100,100,All important,50,100,50,100,100,,50,61,10,62,31,92,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
6,387,FALSE,R_1Kv8UhasHSbtCgN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4898,TRUE,R_2RWeCGS1d0fIXaV,50,50,80,,,100,100,10,100,80,40,,50,50,50,50,50,There should be a difference between allowed application under normal circumstances and application in an emergency case.,,50,,50,70,,70,,70,,40,,,The EUC should be implemented as a mandatory assessment in all chemical regulations,"No policy changes bring no change on pollution, voluntary practice puts no pressure to industries, excluding certain applications from a potential ban because they fulfil the EUC may happen, but to exclude whole domains from the start could be exploited as a loophole.","""necessary for health [and] safety [with no alternative that is at least as effective in its function] or is critical for the the functioning of society""

In the sectors health and safety, there are situations in which it may be necessary to have the absolute best option for health and safety available without the compromise of a worse alternative that is, however, still ""technically and economically feasible"" but worse in its performance. Here it may be worth to discuss, if there should be a distinction between, e.g., an emergency case and the standard situation - similar to the use of antibiotics, where there are compounds that are only allowed, if every other alternative fails.",Academic,,Male,
6,123,FALSE,R_1DMbHxOBBUeB3qS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,877,TRUE,R_3MrEedKjzaTL2GV,60,40,40,,90,50,50,70,50,50,60,,60,90,60,50,50,,,30,,10,20,,5,4,0,16,80,86,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,,Academic,,Male,
100,661,TRUE,R_3Rw4dFJuOFsICub,60,60,40,,20,90,80,80,100,80,70,,90,80,70,60,70,,70,70,60,90,90,,71,75,60,75,85,80,,The EUC should be implemented as a mandatory assessment only for certain use domains,,,Academic,,Male,
100,506,TRUE,R_2645qVmVJLr0yZY,50,80,100,IND needs to proof that there is NO alternative available,70,100,100,90,100,80,100,,60,60,90,100,100,,40,60,70,70,100,,80,100,60,80,100,100,,The EUC should be implemented as a mandatory assessment in all chemical regulations,,"The burden of proof needs to be on side of the IND, meaning that any EU is not authorized unless IND has provided proff no alternative is available. ",Regulatory,,Male,
